SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
,,35-24LI-611,,,35-24LI-611 TNK LVL IND
,,35-24FC-613,,,35-24FC-613 FL CONTROLLER
,,35-24-127,,,35-24-127 PP-800 LN
,,,35-24XS-671,,35-24XV-671 VLV AV
,,,35-24-1129,,35-24-1129 VLV AV-M
,,,35-24-069,,35-24-069 VLV HV
,,35-24-124,,,35-24-124 WAB-20 LN
,,35-24-135,,,35-24-135 PP-400 LN
,,35-24-131,,,35-24-131 PP-700 LN
,,,35-24-057,,35-24-057 VLV NC
,,,35-24-058,,35-24-058 VLV NC
,,35-24-132,,,35-24-132 PP-500 LN
,,,35-24-1132,,35-24-1132 VLV AV-M
,,35-24-133,,,35-24-133 PP-500 LN
,,,35-24-1133,,35-24-1133 VLV AV-M
,,,35-24-1104,,35-24-1104 VLV NC
,,,35-24-055,,35-24-055 VLV NC
,,35-24-130,,,35-24-130 PP-200 LN
,,,35-24-056,,35-24-056 VLV HV
,,35-24-049,,,35-24-049 VLV HV
,,35-24-048,,,35-24-048 VLV HV
,,35-24-051,,,35-24-051 VLV NC
,,35-24T602.1,,,35-24T602.1
,,35-24-602.1,,,35-24-602.1
,,35-24T602.2,,,35-24T602.2
,,35-24-602.2,,,35-24-602.2
BR1,35-24T603,,,5001-PM03-BR-BR1-35-24T603,35-24T603 BROKE COLLECTION TNK 40M3
,,35-24LC-559,,,35-24LC-559 LVL CONTROLLER
,,35-24-071,,,35-24-071 IN LN
,,35-24-072,,,35-24-072 IN LN PP-700
,,35-24-065,,,35-24-065 IN LN PP-300
,,,35-24-1114,,35-24-1114 VLV CHK
,,,35-24-1099,,35-24-1099 VLV CHK
,,35-24-066,,,35-24-066 IN LN PP-900
,,,35-24-126,,35-24-126 VLV HV
,,,35-24-123,,35-24-123 VLV HV
,,35-24-1098,,,35-24-1098 IN VLV NC
,,35-24-121,,,35-24-121 OUT VLV NC
,,35-24-1130,,,35-24-1130 BTM VLV NC
,,35-24-067,,,35-24-067 OUT LN PP-150
,,35-24-074,,,35-24-074 LN WAB-20
,,35-24-208,,,35-24-208 LN PP-100
,,35-24T603.1,,,35-24T603.1
,,35-24-603.1,,,35-24-603.1
,,35-24T603.2,,,35-24T603.2
,,35-24-603.2,,,35-24-603.2
BR1,35-24T604,,,5001-PM03-BR-BR1-35-24T604,35-24T604 BROKE FLTRT TNK 40M3
,,35-24LC-621,,,35-24LC-621 LVL CONTROLLER
,,35-24-146,,,35-24-146 WAA-400 IN LN
,,,35-24-1136,,35-24-1136 VLV NC
,,35-24-145,,,35-24-145 WAA-300 LN
,,,35-24-036,,35-24-036 VLV HV
,,,35-24-1117,,35-24-1117 VLV NC
,,35-24-148,,,35-24-148 WAA-150 OUT LN
,,,35-24-035,,35-24-035 VLV NC
,,35-24-150,,,35-24-150 WAA-400 IN LN
,,35-24-144,,,35-24-144 WAA-200 LN
,,35-24T604.1,,,35-24T604.1
,,35-24-604.1,,,35-24-604.1
,,35-24T604.2,,,35-24T604.2
,,35-24-604.2,,,35-24-604.2
BR1,35-24T605,,,5001-PM03-BR-BR1-35-24T605,35-24T605 THICKENED BROKE TNK 70M3
,,35-24LC-624,,,35-24LC-624 LVL CTRL TNK
,,35-24-151,,,35-24-151 PP-600 IN LN
,,35-24-152,,,35-24-152 PP-300 LN
,,,35-24LV-622,,35-24LV-622 LVL CTRL VLV AV
,,35-24-154,,,35-24-154 PP-700 OUT LN
,,,35-24-027,,35-24-027 ISOL VLV HV
,,,35-24-026,,35-24-026 ISOL VLV HV
,,35-24-156,,,35-24-156 PP-400 LN
,,,35-24-024,,35-24-024 ISOL VLV HV
,,,35-24-1137,,35-24-1137 VLV NC
,,35-24-155,,,35-24-155 PP-150 DRN LN
,,,35-24-025,,35-24-025 DRN VLV HV
,,35-24-150,,,35-24-150 WAA-400 IN LN
,,,35-24-1136,,35-24-1136 VLV NC
,,35-24T605.1,,,35-24T605.1
,,35-24-605.1,,,35-24-605.1
,,35-24T605.2,,,35-24T605.2
,,35-24-605.2,,,35-24-605.2
BR1,35-24T606,,,5001-PM03-BR-BR1-35-24T606,35-24T606 BROKE REJ TNK 15M3
,,35-24LC-646,,,35-24LC-646 LVL CTRL
,,35-24-173,,,35-24-173 PSR-250 IN LN
,,35-24-169,,,35-24-169 PSR-100 LN
,,,35-24-013,,35-24-013 VLV HV
,,35-24-168,,,35-24-168 PSR-100 LN
,,35-24-172,,,35-24-172 PSR-150 OUT LN
,,,35-24-011,,35-24-011 VLV NC
,,35-24-174,,,35-24-174 PSR-250 OUT LN
,,,35-24-1121,,35-24-1121 VLV NC
,,,35-24-009,,35-24-009 VLV NC
,,,35-24-008,,35-24-008 VLV NC
,,35-24T606.1,,,35-24T606.1
,,35-24-606.1,,,35-24-606.1
,,35-24T606.2,,,35-24T606.2
,,35-24-606.2,,,35-24-606.2
BR1,35-24T607,,,5001-PM03-BR-BR1-35-24T607,35-24T607 BROKE DOS TNK 35M3
,,35-24LC-650,,,35-24LC-650 LVL CTRL
,,35-24-177,,,35-24-177 PP-250 IN LN
,,35-24-178,,,35-24-178 PP-350 OUT LN
,,,35-24-004,,35-24-004 VLV AV
,,35-24-176,,,35-24-176 PP-150 OUT LN
,,,35-24-003,,35-24-003 VLV NC
,,35-24-214,,,35-24-214 VLV NC
,,35-24HV-649,,,35-24HV-649 ISOL VLV HV
,,35-24T607.1,,,35-24T607.1
,,35-24-607.1,,,35-24-607.1
,,35-24T607.2,,,35-24T607.2
,,35-24-607.2,,,35-24-607.2
BR1,35-24ES-508,,,5001-PM03-BR-BR1-35-24ES-508,35-24ES-508 WINDER AREA EMERG STOP
BR1,35-24ES-601,,,5001-PM03-BR-BR1-35-24ES-601,35-24ES-601 UTM E-STOP
BR1,35-24ES-662,,,5001-PM03-BR-BR1-35-24ES-662,35-24ES-662 BROKE THICKENER EMRG STOP
BR1,35-24ES-663,,,5001-PM03-BR-BR1-35-24ES-663,35-24ES-663 BROKE THICKENER E-STOP
BR1,35-24ES-683,,,5001-PM03-BR-BR1-35-24ES-683,35-24ES-683 BROK ROLL PLPR EMRG STOP
BR1,35-24HI-501,,,5001-PM03-BR-BR1-35-24HI-501,35-24HI-501 HI VLV POSITION IND
,,35-24-004,,,35-24-004
BR1,35-24HI-503,,,5001-PM03-BR-BR1-35-24HI-503,35-24HI-503 WNDR PLPR SHW S5 S6 IND
BR1,35-24HI-516,,,5001-PM03-BR-BR1-35-24HI-516,35-24HI-516 WNDR PLPR SHW S1 S2 IND
BR1,35-24HI-529,,,5001-PM03-BR-BR1-35-24HI-529,35-24HI-529 SLBG PLPR SHW S1 IND
BR1,35-24HI-532,,,5001-PM03-BR-BR1-35-24HI-532,35-24HI-532 HIGH IND INSTR
,,35-24-034,,,35-24-034 WAF 150 LN
,,,35-24HV-532,,35-24HV-532 ISOL VLV HV
BR1,35-24HI-534,,,5001-PM03-BR-BR1-35-24HI-534,35-24HI-534 HIGH IND
,,35-24-057,,,35-24-057 WAF LN DN350
,,,35-24HV-534,,35-24HV-534 ISOL VLV HV
BR1,35-24HI-552,,,5001-PM03-BR-BR1-35-24HI-552,35-24HI-552 REEL PLPR TAIL SHW ST IND
