EQUNR,FUNCTION,EQKTX,TYPE,SOURCE,AI_DESCRIPTION,REASONING
35-24-036,35-24P516,HV 35-24-036 35-24P516 NC,NC,VISION,35-24-036 ISOL VLV HV,Tight-crop + legend classification → NC
35-24-035,35-24P516,HV 35-24-035 35-24P516 NC,NC,VISION,35-24-035 ISOL VLV HV,Tight-crop + legend classification → NC
35-24-200,35-24P516,HV 35-24-200 35-24P516 CHK,CHK,VISION,35-24-200 CTRL VLV AV,Tight-crop + legend classification → CHK
35-24-148,35-24P516,HV 35-24-148 35-24P516 NC,NC,VISION,35-24-148,Tight-crop + legend classification → NC
35-24-178,35-24P517,HV 35-24-178 35-24P517 HV,HV,VISION,35-24-178 SUCT LN PP-350,Tight-crop + legend classification → HV
35-24-004,35-24P517,HV 35-24-004 35-24P517 NC,NC,VISION,35-24-004 ISOL VLV HV,Tight-crop + legend classification → NC
35-24-003,35-24P517,HV 35-24-003 35-24P517 NC,NC,VISION,35-24-003 ISOL VLV HV,Tight-crop + legend classification → NC
35-24-176,35-24P517,HV 35-24-176 35-24P517 DRN,DRN,AI_QUALIFIER,35-24-176 DRN LN PP-150,AI qualifier token(s) ['DRN'] in description → DRN
35-24-002,35-24P517,HV 35-24-002 35-24P517 NC SMP,NC SMP,VISION,35-24-002 ISOL VLV NC,Tight-crop + legend classification → NC SMP
35-24-001,35-24P517,HV 35-24-001 35-24P517 FLS HV,FLS HV,VISION,35-24-001 ISOL VLV HV,Tight-crop + legend classification → FLS HV
35-24-215,35-24P517,HV 35-24-215 35-24P517 NC FLS,NC FLS,VISION,35-24-215 ISOL VLV NC,Tight-crop + legend classification → NC FLS
35-24-174,35-24P518,HV 35-24-174 35-24P518 NC FLS,NC FLS,VISION,35-24-174 SUCT LN PSR-250,Tight-crop + legend classification → NC FLS
35-24-1121,35-24P518,HV 35-24-1121 35-24P518 NC,NC,VISION,35-24-1121 ISOL VLV HV,Tight-crop + legend classification → NC
35-24-008,35-24P518,HV 35-24-008 35-24P518 NC FLS,NC FLS,VISION,35-24-008 ISOL VLV NC,Tight-crop + legend classification → NC FLS
35-24-172,35-24P518,HV 35-24-172 35-24P518 HV,HV,VISION,35-24-172 SUCT PIT LN PSR-150,Tight-crop + legend classification → HV
35-24-006,35-24P518,HV 35-24-006 35-24P518 NC SMP,NC SMP,VISION,35-24-006 ISOL VLV HV,Tight-crop + legend classification → NC SMP
35-24HV-649,35-24P518,HV 35-24-649 35-24P518 AV,AV,VISION,35-24HV-649 CTRL VLV AV-M,Tight-crop + legend classification → AV
35-24-214,35-24P518,HV 35-24-214 35-24P518 NC FLS,NC FLS,VISION,35-24-214 ISOL VLV NC,Tight-crop + legend classification → NC FLS
35-24-115,35-24T601,HV 35-24-115 35-24T601 NC,NC,VISION,35-24-115 LN WAF-250,Tight-crop + legend classification → NC
35-24-112,35-24T601,HV 35-24-112 35-24T601 NC,NC,VISION,35-24-112 LN WAF-400,Tight-crop + legend classification → NC
35-24-079,35-24T601,HV 35-24-079 35-24T601 HV,HV,VISION,35-24-079 VLV HV,Tight-crop + legend classification → HV
35-24KV-595,35-24T601,HV 35-24-595 35-24T601 HV,HV,VISION,35-24KV-595 TNK LVL CTRL VLV,Tight-crop + legend classification → HV
35-24HV-597,35-24T601,HV 35-24-597 35-24T601 NC FLS,NC FLS,VISION,35-24HV-597 TNK LVL INST,Tight-crop + legend classification → NC FLS
35-24FV-598,35-24T601,HV 35-24-598 35-24T601 AV,AV,VISION,35-24FV-598 TNK FL CTRL VLV,Tight-crop + legend classification → AV
35-24-1129,35-24T602,HV 35-24-1129 35-24T602 NC,NC,VISION,35-24-1129 VLV AV,Tight-crop + legend classification → NC
35-24-069,35-24T602,HV 35-24-069 35-24T602 NC,NC,VISION,35-24-069 VLV HV,Tight-crop + legend classification → NC
35-24-121,35-24T603,HV 35-24-121 35-24T603 HV,HV,VISION,35-24-121 VLV NC,Tight-crop + legend classification → HV
35-24-1130,35-24T603,HV 35-24-1130 35-24T603 NC,NC,VISION,35-24-1130 VLV AV,Tight-crop + legend classification → NC
35-24-1136,35-24T604,HV 35-24-1136 35-24T604 HV,HV,VISION,35-24-1136 VLV NC,Tight-crop + legend classification → HV
35-24-173,35-24T606,HV 35-24-173 35-24T606 HV,HV,VISION,35-24-173 PSR-250 IN LN,Tight-crop + legend classification → HV
35-24-159,35-24ES-663,HV 35-24-159 35-24ES-663 HV,HV,VISION,35-24-159,Tight-crop + legend classification → HV
35-24HV-501,35-24HI-501,HV 35-24-501 35-24HI-501 HV,HV,VISION,35-24HV-501 ISOL VLV HV,Tight-crop + legend classification → HV
35-24HV-532,35-24HI-532,HV 35-24-532 35-24HI-532 HV,HV,VISION,35-24HV-532 ISOL VLV HV,Tight-crop + legend classification → HV
35-24HV-534,35-24HI-534,HV 35-24-534 35-24HI-534 AV,AV,VISION,35-24HV-534 ISOL VLV HV,Tight-crop + legend classification → AV
35-24-094,35-24HI-583,HV 35-24-094 35-24HI-583 HV,HV,VISION,35-24-094,Tight-crop + legend classification → HV
35-24-098,35-24HI-583,HV 35-24-098 35-24HI-583 NC,NC,VISION,35-24-098,Tight-crop + legend classification → NC
35-24HV-652,35-24HI-652,HV 35-24-652 35-24HI-652 HV,HV,VISION,35-24HV-652 ISOL VLV HV,Tight-crop + legend classification → HV
35-24HV-555,35-24HS-555,HV 35-24-555 35-24HS-555 HV,HV,VISION,35-24HV-555 ISOL VLV AV,Tight-crop + legend classification → HV
35-24HV-583,35-24HS-583,HV 35-24-583 35-24HS-583 HV,HV,VISION,35-24HV-583 ISOL VLV AV NC,Tight-crop + legend classification → HV
35-24TV-9251,35-24-008,HV 35-24-9251 35-24-008 AV,AV,VISION,35-24TV-9251 CTRL VLV AV,Tight-crop + legend classification → AV
35-24-185,35-24-008,HV 35-24-185 35-24-008 NC,NC,VISION,35-24-185 001-15 VLV HV,Tight-crop + legend classification → NC
35-24-1089,35-24-008,HV 35-24-1089 35-24-008 NC SMP,NC SMP,VISION,35-24-1089 003-15 BRANCH SPOOL,Tight-crop + legend classification → NC SMP
35-24-1116,35-24-010,HV 35-24-1116 35-24-010 SMP HV,SMP HV,VISION,35-24-1116 ISOL VLV NC,Tight-crop + legend classification → SMP HV
35-24-175,35-24-010,HV 35-24-175 35-24-010 NC,NC,VISION,35-24-175,Tight-crop + legend classification → NC
35-24-012,35-24-012,HV 35-24-012 35-24-012 HV,HV,VISION,35-24-012,Tight-crop + legend classification → HV
35-24NV-504,35-24-016,HV 35-24-504 35-24-016 NC FLS,NC FLS,VISION,35-24NV-504 ISOL VLV NC,Tight-crop + legend classification → NC FLS
35-24HV-516,35-24-016,HV 35-24-516 35-24-016 HV,HV,VISION,35-24HV-516 ISOL VLV HV,Tight-crop + legend classification → HV
35-24KV-517,35-24-016,HV 35-24-517 35-24-016 HV,HV,VISION,35-24KV-517 ISOL VLV HV,Tight-crop + legend classification → HV
35-24HV-503,35-24-016,HV 35-24-503 35-24-016 NC,NC,VISION,35-24HV-503 ISOL VLV HV,Tight-crop + legend classification → NC
35-24-171,35-24-017,HV 35-24-171 35-24-017 HV,HV,VISION,35-24-171 VLV HV,Tight-crop + legend classification → HV
35-24-017,35-24-017,HV 35-24-017 35-24-017 NC SMP,NC SMP,VISION,35-24-017,Tight-crop + legend classification → NC SMP
35-24TV-9261,35-24-024,HV 35-24-9261 35-24-024 AV,AV,VISION,35-24TV-9261 TEMP CTRL VLV AV,Tight-crop + legend classification → AV
35-24-165,35-24-024,HV 35-24-165 35-24-024 HV,HV,VISION,35-24-165 ISOL VLV HV,Tight-crop + legend classification → HV
35-24-163,35-24-024,HV 35-24-163 35-24-024 HV,HV,VISION,35-24-163 ISOL VLV NC,Tight-crop + legend classification → HV
35-24-157,35-24L007,HV 35-24-157 35-24L007 DRN HV,DRN HV,VISION,35-24-157 VLV NC DRN 003-15,Tight-crop + legend classification → DRN HV
35-24NV-519,35-24-030,HV 35-24-519 35-24-030 AV,AV,VISION,35-24NV-519 ISOL VLV NC,Tight-crop + legend classification → AV
35-24HV-693,35-24-030,HV 35-24-693 35-24-030 NC FLS,NC FLS,VISION,35-24HV-693 ISOL VLV HV,Tight-crop + legend classification → NC FLS
35-24-218,35-24-030,HV 35-24-218 35-24-030 HV,HV,VISION,35-24-218 WAF-150 BRANCH,Tight-crop + legend classification → HV
35-24HV-694,35-24-030,HV 35-24-694 35-24-030 HV,HV,VISION,35-24HV-694 ISOL VLV HV,Tight-crop + legend classification → HV
35-24KV-530,35-24-030,HV 35-24-530 35-24-030 HV,HV,VISION,35-24KV-530 ISOL VLV HV,Tight-crop + legend classification → HV
35-24-1107,35-24-042,HV 35-24-1107 35-24-042 NC SMP,NC SMP,VISION,35-24-1107 BRANCH SPOOL 003-15,Tight-crop + legend classification → NC SMP
35-24TV-9269,35-24-042,HV 35-24-9269 35-24-042 AV,AV,VISION,35-24TV-9269 TEMP CTRL VLV AV NC,Tight-crop + legend classification → AV
35-24-139,35-24-045,HV 35-24-139 35-24-045 NC FLS,NC FLS,VISION,35-24-139 003-15 ISOL VLV HV,Tight-crop + legend classification → NC FLS
35-24-136,35-24-045,HV 35-24-136 35-24-045 HV,HV,VISION,35-24-136,Tight-crop + legend classification → HV
35-24-050,35-24-050,HV 35-24-050 35-24-050 HV,HV,VISION,35-24-050,Tight-crop + legend classification → HV
35-24-138,35-24-052,HV 35-24-138 35-24-052 NC FLS,NC FLS,VISION,35-24-138 ISOL VLV HV,Tight-crop + legend classification → NC FLS
35-24HV-552,35-24-052,HV 35-24-552 35-24-052 NC FLS,NC FLS,VISION,35-24HV-552 ISOL VLV AV,Tight-crop + legend classification → NC FLS
35-24KV-553,35-24-052,HV 35-24-553 35-24-052 HV,HV,VISION,35-24KV-553 ISOL VLV AV,Tight-crop + legend classification → HV
35-24HV-653,35-24-052,HV 35-24-653 35-24-052 HV,HV,VISION,35-24HV-653 ISOL VLV AV,Tight-crop + legend classification → HV
35-24-1118,35-24-061,HV 35-24-1118 35-24-061 NC,NC,VISION,35-24-1118 VLV NC 003-15,Tight-crop + legend classification → NC
35-24-061,35-24-061,HV 35-24-061 35-24-061 NC,NC,VISION,35-24-061,Tight-crop + legend classification → NC
35-24-1115,35-24-063,HV 35-24-1115 35-24-063 HV,HV,VISION,35-24-1115 VLV NC,Tight-crop + legend classification → HV
35-24-063,35-24-063,HV 35-24-063 35-24-063 NC FLS,NC FLS,VISION,35-24-063,Tight-crop + legend classification → NC FLS
35-24-225,35-24-068,HV 35-24-225 35-24-068 SMP HV,SMP HV,VISION,35-24-225 ISOL VLV NC,Tight-crop + legend classification → SMP HV
35-24-109,35-24-076,HV 35-24-109 35-24-076 HV,HV,VISION,35-24-109 VLV HV,Tight-crop + legend classification → HV
35-24-104,35-24-079,HV 35-24-104 35-24-079 HV,HV,VISION,35-24-104 ISOL VLV HV,Tight-crop + legend classification → HV
35-24-106,35-24-080,HV 35-24-106 35-24-080 HV,HV,VISION,35-24-106,Tight-crop + legend classification → HV
35-24-103,35-24-083,HV 35-24-103 35-24-083 NC FLS,NC FLS,VISION,35-24-103 VLV 003-50,Tight-crop + legend classification → NC FLS
35-24-003.1,35-24L003,HV 35-24-003.1 35-24L003 DRN NC,DRN NC,VISION,35-24-003.1,Tight-crop + legend classification → DRN NC
35-24-003.2,35-24-083,HV 35-24-003.2 35-24-083 NC FLS,NC FLS,VISION,35-24-003.2,Tight-crop + legend classification → NC FLS
35-24-1119,35-24-087,HV 35-24-1119 35-24-087 HV,HV,VISION,35-24-1119 BRANCH SPOOL 500,Tight-crop + legend classification → HV
35-24-099,35-24-099,HV 35-24-099 35-24-099 NC SMP,NC SMP,VISION,35-24-099 WFL-15 HEADER LN,Tight-crop + legend classification → NC SMP
35-24-091,35-24-102,HV 35-24-091 35-24-102 SMP HV,SMP HV,VISION,35-24-091 ISOL VLV HV,Tight-crop + legend classification → SMP HV
35-24-1124,35-24-102,HV 35-24-1124 35-24-102 SMP HV,SMP HV,VISION,35-24-1124 ISOL VLV HV,Tight-crop + legend classification → SMP HV
35-24KV-594,35-24-106,HV 35-24-594 35-24-106 HV,HV,VISION,35-24KV-594 VLV AV,Tight-crop + legend classification → HV
35-24HV-654,35-24-109,HV 35-24-654 35-24-109 HV,HV,VISION,35-24HV-654 ISOL VLV HV,Tight-crop + legend classification → HV
35-24HV-580,35-24-109,HV 35-24-580 35-24-109 HV,HV,VISION,35-24HV-580 ISOL VLV HV,Tight-crop + legend classification → HV
35-24-401.2,35-24-112,HV 35-24-401.2 35-24-112 HV,HV,CAD_LAYER,35-24-401.2,Tag text on P-CVPOS → valve
35-24-403.2,35-24-112,HV 35-24-403.2 35-24-112 NO,NO,VISION,35-24-403.2,Tight-crop + legend classification → NO
35-24-1109,35-24-121,HV 35-24-1109 35-24-121 HV,HV,VISION,35-24-1109 ISOL VLV HV,Tight-crop + legend classification → HV
35-24TV-9301,35-24-121,HV 35-24-9301 35-24-121 AV,AV,VISION,35-24TV-9301 TEMP CTRL VLV AV,Tight-crop + legend classification → AV
35-24-073,35-24T601,HV 35-24-073 35-24T601 DRN HV,DRN HV,VISION,35-24-073 DRN VLV NC DRN,Tight-crop + legend classification → DRN HV
35-24-070,35-24-122,HV 35-24-070 35-24-122 DRN HV,DRN HV,VISION,35-24-070 VLV DRN NC,Tight-crop + legend classification → DRN HV
35-24-1103,35-24-123,HV 35-24-1103 35-24-123 SMP HV,SMP HV,VISION,35-24-1103 ISOL VLV HV,Tight-crop + legend classification → SMP HV
35-24-1126,35-24-123,HV 35-24-1126 35-24-123 SMP HV,SMP HV,VISION,35-24-1126,Tight-crop + legend classification → SMP HV
35-24-059,35-24-129,HV 35-24-059 35-24-129 HV,HV,VISION,35-24-059 VLV NC,Tight-crop + legend classification → HV
35-24-1134,35-24-153,HV 35-24-1134 35-24-153 SMP HV,SMP HV,VISION,35-24-1134 VLV NC 003-15,Tight-crop + legend classification → SMP HV
35-24-022,35-24-157,HV 35-24-022 35-24-157 HV,HV,VISION,35-24-022 VLV HV,Tight-crop + legend classification → HV
35-24-020,35-24-160,HV 35-24-020 35-24-160 HV,HV,VISION,35-24-020 VLV HV,Tight-crop + legend classification → HV
35-24-014,35-24-167,HV 35-24-014 35-24-167 HV,HV,VISION,35-24-014 VLV NC,Tight-crop + legend classification → HV
35-24-167,35-24-167,HV 35-24-167 35-24-167 NC SMP,NC SMP,VISION,35-24-167,Tight-crop + legend classification → NC SMP
35-24-195,35-24-195,HV 35-24-195 35-24-195 HV,HV,VISION,35-24-195 ISOL VLV HV,Tight-crop + legend classification → HV
35-24-203,35-24-203,HV 35-24-203 35-24-203 HV,HV,VISION,35-24-203 VLV HV DN15,Tight-crop + legend classification → HV
35-24-213,35-24-213,HV 35-24-213 35-24-213 NC FLS,NC FLS,VISION,35-24-213 WAF LN DN20,Tight-crop + legend classification → NC FLS
35-24-224,35-24-224,HV 35-24-224 35-24-224 HV,HV,VISION,35-24-224 003-15 VLV HV,Tight-crop + legend classification → HV
